AG Algorithm Results Summary
----------------------------
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.15, 'tournament_size': 9, 'crossover_rate': 0.85}, RMSE: 183.9959, R2: 0.0263, Time: 102.84 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.2, 'tournament_size': 9, 'crossover_rate': 0.72}, RMSE: 185.1979, R2: 0.0135, Time: 103.46 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.05, 'tournament_size': 9, 'crossover_rate': 0.6}, RMSE: 186.5674, R2: -0.0011, Time: 106.79 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.1, 'tournament_size': 7, 'crossover_rate': 0.95}, RMSE: 186.8491, R2: -0.0041, Time: 105.36 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.15, 'tournament_size': 7, 'crossover_rate': 0.9}, RMSE: 186.4004, R2: 0.0007, Time: 105.21 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.2, 'tournament_size': 7, 'crossover_rate': 0.85}, RMSE: 185.4906, R2: 0.0104, Time: 81.11 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.05, 'tournament_size': 2, 'crossover_rate': 0.72}, RMSE: 186.8150, R2: -0.0038, Time: 89.19 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.1, 'tournament_size': 2, 'crossover_rate': 0.6}, RMSE: 191.6824, R2: -0.0568, Time: 89.31 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.1, 'tournament_size': 9, 'crossover_rate': 0.95}, RMSE: 186.4162, R2: 0.0005, Time: 87.19 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.15, 'tournament_size': 9, 'crossover_rate': 0.9}, RMSE: 186.7435, R2: -0.0030, Time: 85.62 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.2, 'tournament_size': 9, 'crossover_rate': 0.85}, RMSE: 186.8213, R2: -0.0038, Time: 84.69 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.05, 'tournament_size': 9, 'crossover_rate': 0.72}, RMSE: 185.2888, R2: 0.0126, Time: 84.36 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.1, 'tournament_size': 9, 'crossover_rate': 0.6}, RMSE: 185.1087, R2: 0.0145, Time: 84.81 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.15, 'tournament_size': 7, 'crossover_rate': 0.95}, RMSE: 185.8493, R2: 0.0066, Time: 66.35 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.2, 'tournament_size': 7, 'crossover_rate': 0.9}, RMSE: 184.1747, R2: 0.0244, Time: 86.71 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.05, 'tournament_size': 7, 'crossover_rate': 0.85}, RMSE: 186.7824, R2: -0.0034, Time: 85.61 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.1, 'tournament_size': 7, 'crossover_rate': 0.72}, RMSE: 186.0055, R2: 0.0049, Time: 85.41 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.15, 'tournament_size': 7, 'crossover_rate': 0.6}, RMSE: 186.2187, R2: 0.0026, Time: 84.29 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.2, 'tournament_size': 5, 'crossover_rate': 0.95}, RMSE: 186.4756, R2: -0.0001, Time: 85.44 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.05, 'tournament_size': 5, 'crossover_rate': 0.9}, RMSE: 188.5240, R2: -0.0222, Time: 84.23 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.1, 'tournament_size': 5, 'crossover_rate': 0.85}, RMSE: 186.5041, R2: -0.0004, Time: 86.63 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.15, 'tournament_size': 5, 'crossover_rate': 0.72}, RMSE: 187.0368, R2: -0.0062, Time: 86.02 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.2, 'tournament_size': 5, 'crossover_rate': 0.6}, RMSE: 187.3867, R2: -0.0099, Time: 84.47 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.05, 'tournament_size': 3, 'crossover_rate': 0.95}, RMSE: 186.6009, R2: -0.0015, Time: 106.90 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.1, 'tournament_size': 3, 'crossover_rate': 0.9}, RMSE: 186.7257, R2: -0.0028, Time: 107.16 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.15, 'tournament_size': 3, 'crossover_rate': 0.85}, RMSE: 186.8795, R2: -0.0045, Time: 119.75 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.2, 'tournament_size': 3, 'crossover_rate': 0.72}, RMSE: 186.9550, R2: -0.0053, Time: 110.99 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.05, 'tournament_size': 3, 'crossover_rate': 0.6}, RMSE: 186.5123, R2: -0.0005, Time: 83.96 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.1, 'tournament_size': 2, 'crossover_rate': 0.95}, RMSE: 185.7596, R2: 0.0075, Time: 86.90 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.15, 'tournament_size': 2, 'crossover_rate': 0.9}, RMSE: 188.5406, R2: -0.0224, Time: 107.45 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.05, 'elitism_rate': 0.2, 'tournament_size': 2, 'crossover_rate': 0.85}, RMSE: 190.1201, R2: -0.0396, Time: 103.20 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.05, 'tournament_size': 2, 'crossover_rate': 0.72}, RMSE: 187.7139, R2: -0.0135, Time: 109.49 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.1, 'tournament_size': 2, 'crossover_rate': 0.6}, RMSE: 198.1316, R2: -0.1291, Time: 106.33 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.1, 'tournament_size': 9, 'crossover_rate': 0.95}, RMSE: 185.9367, R2: 0.0056, Time: 109.24 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.15, 'tournament_size': 9, 'crossover_rate': 0.9}, RMSE: 184.9668, R2: 0.0160, Time: 105.26 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.1, 'elitism_rate': 0.2, 'tournament_size': 9, 'crossover_rate': 0.85}, RMSE: 184.0917, R2: 0.0253, Time: 113.05 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.05, 'tournament_size': 9, 'crossover_rate': 0.72}, RMSE: 184.8009, R2: 0.0178, Time: 85.75 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.1, 'tournament_size': 9, 'crossover_rate': 0.6}, RMSE: 186.9362, R2: -0.0051, Time: 105.10 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.15, 'tournament_size': 7, 'crossover_rate': 0.95}, RMSE: 186.5144, R2: -0.0005, Time: 104.48 seconds
Parameters: {'nInd': 100, 'maxIter': 150, 'mutation_rate': 0.2, 'elitism_rate': 0.2, 'tournament_size': 7, 'crossover_rate': 0.9}, RMSE: 184.9337, R2: 0.0163, Time: 66.45 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.05, 'tournament_size': 2, 'crossover_rate': 0.85}, RMSE: 192.4120, R2: -0.0648, Time: 94.86 seconds
Parameters: {'nInd': 80, 'maxIter': 150, 'mutation_rate': 0.01, 'elitism_rate': 0.1, 'tournament_size': 2, 'crossover_rate': 0.72}, RMSE: 191.1722, R2: -0.0511, Time: 94.57 seconds
